participant_id	CMAT_Addition_Raw	CMAT_Addition_StS	CMAT_Subtraction_Raw	CMAT_Subtraction_StS	CMAT_Multiplication_Raw	CMAT_Multiplication_StS	CMAT_Division_Raw	CMAT_Division_StS	CMAT_BasicCalc_Comp_Quotient
sub-001	17	15	14	16	6	11	1	8	117
sub-002	20	16	16	16	7	10	1	6	113
sub-003	17	10	18	15	14	13	13	14	120
sub-004	17	12	11	10	4	6	6	9	95
sub-005	23	14	23	18	17	13	17	16	135
sub-006	14	11	12	13	13	16	6	12	120
sub-007	25	19	21	19	20	17	17	19	159
sub-008	25	15	20	13	26	19	24	20	145
sub-009	17	15	11	13	3	8	1	8	107
sub-010	21	15	16	14	12	12	12	14	125
sub-011	21	17	19	19	17	17	20	20	155
sub-012	24	14	21	14	12	8	14	11	112
sub-013	23	13	19	11	19	12	22	18	124
sub-014	19	10	16	11	14	11	15	14	110
sub-015	12	5	17	12	15	11	13	12	100
sub-016	24	14	17	10	22	15	21	18	128
sub-017	10	6	9	9	12	14	8	13	103
sub-018	20	11	17	12	16	12	7	7	103
sub-019	24	17	21	18	22	18	18	19	153
sub-020	14	7	9	6	8	8	2	4	75
sub-021	12	8	6	6	7	10	6	11	92
sub-022	23	13	17	11	15	11	20	18	122
sub-023	25	17	21	17	15	12	19	19	142
sub-024	16	11	15	14	12	13	8	11	115
sub-025	24	15	22	17	22	17	21	20	148
sub-026	17	10	12	9	12	11	18	19	115
sub-027	20	15	19	18	15	15	14	17	142
sub-028	15	7	15	11	13	11	14	14	105
sub-029	18	13	12	11	9	11	5	8	105
sub-030	19	11	19	15	16	13	11	11	117
sub-031	23	15	21	17	13	11	17	17	133
sub-032	21	17	14	14	14	16	8	13	133
sub-033	25	17	21	17	16	13	18	18	142
sub-034	19	14	16	15	7	9	11	14	120
sub-035	18	11	18	15	15	13	12	13	120
sub-036	19	14	16	14	15	15	6	9	122
sub-037	13	5	11	6	10	8	8	7	77
sub-038	24	13	19	10	18	11	20	15	115
sub-039	10	4	7	3	7	5	9	7	64
sub-040	19	9	18	11	16	11	13	10	105
sub-041	15	12	9	10	10	13	6	12	112
sub-042	14	8	7	6	10	11	4	7	87
sub-043	20	10	21	13	16	10	14	10	105
sub-044	21	13	23	19	14	12	18	18	137
sub-045	16	11	12	11	9	11	6	9	103
sub-046	21	12	15	10	14	11	5	6	98
sub-047	13	7	19	17	10	11	10	13	113
sub-048	19	13	18	16	11	11	18	20	133
sub-049	20	13	19	17	20	17	16	17	140
sub-050	22	18	18	18	17	17	11	15	147
sub-051	18	9	14	9	15	11	5	6	92
sub-052	20	10	12	7	8	6	17	15	97
sub-053	21	11	17	10	14	9	11	9	98
sub-054	20	9	16	8	19	12	11	8	95
sub-055	17	11	13	11	13	13	9	12	112
sub-056	17	11	13	11	16	15	8	11	113
sub-057	13	9	14	14	5	8	5	10	102
sub-058	13	7	18	16	17	15	17	19	128
sub-059	20	10	14	7	17	11	14	11	98
sub-060	16	9	15	12	16	14	13	14	115
sub-061	22	14	22	18	15	12	18	18	137
sub-062	21	11	20	13	15	10	16	13	112
sub-063	19	12	13	10	11	10	10	11	105
sub-064	16	12	15	15	7	10	6	11	113
sub-065	10	5	7	6	3	5	1	4	67
sub-066	11	7	7	7	4	7	3	8	82
sub-067	13	5	9	4	3	3	5	5	62
sub-068	11	7	7	7	6	9	4	9	87
sub-069	18	8	13	6	12	8	6	6	80
sub-070	17	7	19	12	16	11	7	6	93
sub-071	8	8	8	10	3	8	0	7	88
sub-072	15	6	10	5	12	8	5	5	73
sub-073	10	5	10	9	6	8	3	6	80
sub-074	20	10	9	5	8	6	5	6	78
sub-075	16	6	15	7	14	8	10	7	80
sub-076	12	6	7	6	3	5	2	5	70
sub-077	10	6	8	8	2	5	1	6	75
sub-078	10	4	8	5	7	6	3	5	67
sub-079	20	10	16	8	9	6	7	6	83
sub-080	13	9	8	8	2	5	1	6	80
sub-081	13	6	8	5	10	9	6	7	78
sub-082	19	11	7	5	6	6	3	5	78
sub-083	17	10	13	10	5	6	2	4	83
sub-084	16	10	12	10	3	5	1	4	82
sub-085	17	12	8	7	7	9	5	8	93
sub-086	15	6	10	5	13	9	8	7	78
sub-087	18	9	13	7	8	6	2	4	77
sub-088	8	5	3	3	2	4	3	6	63
sub-089	7	3	9	7	6	7	0	3	67
sub-090	19	9	15	8	11	8	8	7	87
sub-091	10	4	10	5	15	10	5	5	73
sub-092	9	5	6	6	9	11	6	9	86
sub-093	14	9	14	13	6	8	3	6	93
sub-094	15	6	14	7	4	4	5	5	70
sub-095	15	7	15	11	10	9	3	5	87
sub-096	18	11	9	6	7	7	7	9	88
sub-097	15	8	14	11	3	4	6	8	85
sub-098	17	13	8	8	3	6	2	7	90
sub-099	15	9	12	10	5	6	1	4	82
sub-100	16	11	13	12	3	5	0	3	85
sub-101	20	11	16	11	7	6	5	6	90
sub-102	11	5	16	14	2	4	0	3	77
sub-103	15	10	3	3	3	5	4	7	75
sub-104	17	8	7	4	11	9	8	8	82
sub-105	10	5	9	7	4	6	0	3	68
sub-106	18	9	16	10	13	9	7	7	92
sub-107	17	10	18	15	2	3	4	6	90
sub-108	9	4	3	2	3	5	3	6	62
sub-109	20	10	15	9	14	10	6	6	92
sub-110	11	5	9	7	3	5	1	4	88
sub-111	8	5	11	11	5	8	4	4	88
sub-112	14	6	12	8	10	9	7	8	85
sub-113	15	7	9	6	8	7	6	7	78
sub-114	16	7	9	5	5	5	5	6	72
sub-115	17	7	11	6	8	6	7	6	75
sub-116	10	4	10	6	5	5	4	5	67
sub-117	18	8	19	12	14	9	10	8	95
sub-118	23	13	20	12	18	11	21	17	122
sub-119	25	17	20	16	12	10	15	15	130
sub-120	21	11	16	10	9	7	10	9	95
sub-121	18	12	15	13	10	11	6	9	108
sub-122	17	13	15	15	7	10	1	6	107
sub-123	23	13	21	15	15	11	14	12	118
sub-124	17	13	17	17	13	15	6	11	127
sub-125	16	12	11	11	5	8	5	10	102
sub-126	21	14	20	17	20	17	18	19	145
sub-127	23	13	17	9	22	15	18	14	118
sub-128	14	12	9	11	5	10	2	9	103
sub-129	20	10	18	10	14	9	6	6	92
sub-130	18	10	9	6	14	12	11	11	98
sub-131	20	13	10	7	14	13	10	11	107
sub-132	19	9	16	10	17	12	11	9	100
